Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.1376315,0.8623,8.148,10.6618,101.526,Nan,NaN,Nan
0.5275886,0.8623,8.148,11.0195,100.284,Nan,NaN,Nan
0.9148939,0.8623,8.148,10.8630,98.424,Nan,NaN,Nan
1.3063599,0.8623,8.148,10.6022,99.372,Nan,NaN,Nan
1.696305,0.8623,8.148,10.5426,101.82,Nan,NaN,Nan
2.0859835,0.8623,8.148,10.8779,100.41,Nan,NaN,Nan
2.4788681,0.8623,8.148,10.8258,99.66,Nan,NaN,Nan
2.8694271,0.8623,8.148,10.5650,101.124,Nan,NaN,Nan
3.259015,0.8623,8.148,11.0493,102.636,Nan,NaN,Nan
3.6484041,0.8623,8.148,11.2802,102.6,Nan,NaN,Nan
4.0375108,0.8623,8.148,11.2728,102.756,Nan,NaN,Nan
4.4276829,0.8623,8.148,11.3622,103.608,Nan,NaN,Nan
4.8176332,0.8623,8.148,11.5112,103.008,Nan,NaN,Nan
5.2060061,0.8623,8.148,11.2355,101.706,Nan,NaN,Nan
5.5952975,0.8623,8.148,10.6842,101.526,Nan,NaN,Nan
5.983393,0.8623,8.148,10.3266,100.668,Nan,NaN,Nan
6.3724895,0.8623,8.148,10.3415,100.32,Nan,NaN,Nan
6.7625889,0.8623,8.148,10.4160,100.464,Nan,NaN,Nan
7.1515053,0.8623,8.148,10.2595,100.53,Nan,NaN,Nan
7.5398856,0.8623,8.148,10.2595,99.192,Nan,NaN,Nan
7.9276927,0.8623,8.148,10.2148,99.63,Nan,NaN,Nan
8.3181144,0.8623,8.148,10.1925,100.38,Nan,NaN,Nan
8.7099398,0.8623,8.148,10.5799,100.548,Nan,NaN,Nan
9.0987831,0.8623,8.148,10.6022,99.684,Nan,NaN,Nan
9.4865033,0.8623,8.148,10.5650,101.082,Nan,NaN,Nan
9.8740523,0.8623,8.148,10.5724,103.242,Nan,NaN,Nan
10.2642042,0.8623,8.148,10.6618,101.424,Nan,NaN,Nan
10.6541246,0.8623,8.148,10.4830,96.972,Nan,NaN,Nan
11.0417177,0.8622,8.148,9.8646,93.828,Nan,NaN,Nan
11.4320803,0.8622,8.148,9.8348,91.542,Nan,NaN,Nan
11.8203894,0.8623,8.148,10.0807,91.5,Nan,NaN,Nan
12.2087899,0.8623,8.148,9.9987,92.832,Nan,NaN,Nan
