2021-09-10 14:32:49,984 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - the recieved command was: 125762.3203,125680.2813,125857.1135,125529.1050,125554.2759,126237.7162,125718.1322,125844.4662,125516.5233,125485.0802,125680.2813,126123.2945,125459.9370,125610.9471,125781.2675,125977.3897,125699.2039,125926.7192,125277.9491,126104.2443,125466.2219,125290.4831,125812.8589,125579.4568,125699.2039,125800.2205,125623.5477,125718.1322,125686.5882,125812.8589
2021-09-10 14:32:50,014 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125762.3203
2021-09-10 14:32:50,014 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125680.2813
2021-09-10 14:32:50,014 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125857.1135
2021-09-10 14:32:50,018 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125529.1050
2021-09-10 14:32:50,018 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125554.2759
2021-09-10 14:32:50,018 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 126237.7162
2021-09-10 14:32:50,018 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125718.1322
2021-09-10 14:32:50,019 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125844.4662
2021-09-10 14:32:50,019 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125516.5233
2021-09-10 14:32:50,019 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125485.0802
2021-09-10 14:32:50,019 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125680.2813
2021-09-10 14:32:50,019 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 126123.2945
2021-09-10 14:32:50,019 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125459.9370
2021-09-10 14:32:50,020 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125610.9471
2021-09-10 14:32:50,020 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125781.2675
2021-09-10 14:32:50,020 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125977.3897
2021-09-10 14:32:50,020 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125699.2039
2021-09-10 14:32:50,020 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125926.7192
2021-09-10 14:32:50,020 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125277.9491
2021-09-10 14:32:50,020 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 126104.2443
2021-09-10 14:32:50,021 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125466.2219
